manufactor,Year,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Price,Km,model,Supply_score
טויוטה,2016,2,אוטומטית,1300.0,בנזין,פרטית,פרטית,61000.0,75000.0,YARIS,3548
פולקסווגן,2008,2,אוטומטית,1600.0,בנזין,פרטית,פרטית,19000.0,143000.0,GOLF,1882
פולקסווגן,2010,2,אוטומטית,1968.0,טורבו דיזל,פרטית,פרטית,20000.0,257000.0,PASSAT,333
וולוו,2014,5,אוטומטית,2000.0,בנזין,פרטית,פרטית,47000.0,180000.0,S60,0
לקסוס,2011,4,אוטומטית,2500.0,בנזין,פרטית,פרטית,84999.0,108000.0,LEXUS IS250,6
סוזוקי,2012,1,אוטומטית,1586.0,בנזין,חדש,פרטית,41000.0,78600.0,SX4,2446
קיה,2012,2,אוטומטית,1600.0,בנזין,פרטית,פרטית,27800.0,102000.0,SOUL,578
וולוו,2018,1,אוטומטית,1500.0,בנזין,חדש,פרטית,87000.0,39000.0,V40,0
סיטרואן,2017,2,אוטומטית,1600.0,בנזין,פרטית,פרטית,45000.0,180000.0,C4,21
ב.מ.וו,2012,1,אוטומטית,2000.0,בנזין,חדש,פרטית,49000.0,95000.0,סדרה 1,0
הונדה,2008,1,טיפטרוניק,1800.0,בנזין,חדש,פרטית,35000.0,100000.0,CIVIC,5497
יונדאי,2020,1,אוטומטית,1200.0,בנזין,חדש,פרטית,78000.0,43000.0,I10,3638
יונדאי,2017,2,אוטומטית,1600.0,היברידי,פרטית,פרטית,79000.0,130000.0,IONIQ HYBRID,6395
סקודה,2013,3,אוטומטית,1800.0,בנזין,פרטית,פרטית,29000.0,150000.0,OCTAVIA,3181
קיה,2015,2,אוטומטית,1248.0,בנזין,פרטית,פרטית,53000.0,52400.0,PICANTO,11640
קיה,2015,2,אוטומטית,1600.0,בנזין,פרטית,פרטית,65000.0,152000.0,CERATO,0
סובארו,2015,1,אוטומטית,1600.0,בנזין,חדש,פרטית,71000.0,64000.0,XV,3552
מאזדה,2012,3,אוטומטית,2000.0,בנזין,פרטית,פרטית,29900.0,209000.0,MAZDA 3,4340
יונדאי,2017,2,ידנית,1000.0,בנזין,פרטית,פרטית,42900.0,116500.0,I10,5794
